CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO;POPULACAO;EQUIPES_POR_100K
110002;RO;2;EMAD I, EMAP;Ariquemes;;
110011;RO;1;EMAD I;Jaru;;
110012;RO;1;EMAD I;Ji-Paraná;;
110020;RO;5;EMAD I, EMAP;Porto Velho;;
110030;RO;2;EMAD I, EMAP;Vilhena;;
110037;RO;1;EMAP;Alto Alegre dos Parecis;;
110040;RO;2;EMAD II, EMAP;Alto Paraíso;;
110045;RO;2;EMAD II, EMAP;Buritis;;
120020;AC;2;EMAD I, EMAP;Cruzeiro do Sul;;
120040;AC;3;EMAD I, EMAP;Rio Branco;;
130060;AM;1;EMAD I;Benjamin Constant;;
130120;AM;2;EMAD I, EMAP;Coari;;
130185;AM;2;EMAD I, EMAP;Iranduba;;
130190;AM;2;EMAD I, EMAP;Itacoatiara;;
130240;AM;2;EMAD I, EMAP;Lábrea;;
130260;AM;24;EMAD I, EMAP;Manaus;;
130270;AM;1;EMAD I;Manicoré;;
130353;AM;2;EMAD II, EMAP;Presidente Figueiredo;;
130390;AM;1;EMAD II;São Paulo de Olivença;;
130406;AM;2;EMAD I, EMAP;Tabatinga;;
140010;RR;2;EMAD I;Boa Vista;;
150010;PA;3;EMAD I, EMAP;Abaetetuba;;
150020;PA;2;EMAD I, EMAP;Acará;;
150034;PA;2;EMAD II, EMAP;Água Azul do Norte;;
150060;PA;3;EMAD I, EMAP;Altamira;;
150080;PA;4;EMAD I, EMAP;Ananindeua;;
150085;PA;2;EMAD II, EMAP;Anapu;;
150090;PA;2;EMAD I, EMAP;Augusto Corrêa;;
150095;PA;2;EMAD II, EMAP;Aurora do Pará;;
150130;PA;3;EMAD I, EMAP;Barcarena;;
150140;PA;8;EMAD I, EMAP;Belém;;
150150;PA;2;EMAD I, EMAP;Benevides;;
150157;PA;1;EMAP-R;Bom Jesus do Tocantins;;
150160;PA;1;EMAP-R;Bonito;;
150170;PA;4;EMAD I, EMAP;Bragança;;
150172;PA;2;EMAD II, EMAP;Brasil Novo;;
150178;PA;2;EMAD I, EMAP;Breu Branco;;
150180;PA;2;EMAD I, EMAP;Breves;;
150190;PA;2;EMAD II, EMAP;Bujaru;;
150195;PA;2;EMAD II, EMAP;Cachoeira do Piriá;;
150210;PA;2;EMAD I, EMAP;Cametá;;
150215;PA;2;EMAD I, EMAP;Canaã dos Carajás;;
150220;PA;2;EMAD I, EMAP;Capanema;;
150230;PA;2;EMAD I, EMAP;Capitão Poço;;
150240;PA;2;EMAD I, EMAP;Castanhal;;
150270;PA;2;EMAD I, EMAP;Conceição do Araguaia;;
150275;PA;2;EMAD II, EMAP;Concórdia do Pará;;
150293;PA;2;EMAD I, EMAP;Dom Eliseu;;
150307;PA;2;EMAD II, EMAP;Garrafão do Norte;;
150309;PA;2;EMAD II, EMAP;Goianésia do Pará;;
150320;PA;2;EMAD II, EMAP;Igarapé-Açu;;
150330;PA;2;EMAD I, EMAP;Igarapé-Miri;;
150345;PA;2;EMAD I, EMAP;Ipixuna do Pará;;
150350;PA;2;EMAD II, EMAP;Irituia;;
150370;PA;3;EMAD I, EMAP;Itupiranga;;
150380;PA;2;EMAD I, EMAP;Jacundá;;
150405;PA;2;EMAD II, EMAP;Mãe do Rio;;
150430;PA;2;EMAD II, EMAP;Maracanã;;
150442;PA;2;EMAD I, EMAP;Marituba;;
150445;PA;2;EMAD II, EMAP;Medicilândia;;
150470;PA;2;EMAD I, EMAP;Moju;;
150495;PA;2;EMAD II, EMAP;Nova Esperança do Piriá;;
150506;PA;2;EMAD I, EMAP;Novo Repartimento;;
150510;PA;1;EMAD I;Óbidos;;
150543;PA;2;EMAD II, EMAP;Ourilândia do Norte;;
150548;PA;2;EMAD I, EMAP;Pacajá;;
150550;PA;2;EMAD I, EMAP;Paragominas;;
150553;PA;3;EMAD I, EMAP;Parauapebas;;
150570;PA;2;EMAD II, EMAP;Ponta de Pedras;;
150590;PA;1;EMAD I;Porto de Moz;;
150600;PA;2;EMAD II, EMAP;Prainha;;
150613;PA;2;EMAD I, EMAP;Redenção;;
150620;PA;2;EMAD I, EMAP;Salinópolis;;
150635;PA;2;EMAD II, EMAP;Santa Bárbara do Pará;;
150650;PA;2;EMAD I, EMAP;Santa Izabel do Pará;;
150658;PA;2;EMAD II, EMAP;Santa Maria das Barreiras;;
150660;PA;2;EMAD II, EMAP;Santa Maria do Pará;;
150670;PA;2;EMAD I, EMAP;Santana do Araguaia;;
150680;PA;4;EMAD I, EMAP;Santarém;;
150720;PA;2;EMAD II, EMAP;São Domingos do Capim;;
150730;PA;2;EMAD I, EMAP;São Félix do Xingu;;
150745;PA;2;EMAD II, EMAP;São Geraldo do Araguaia;;
150760;PA;2;EMAD I, EMAP;São Miguel do Guamá;;
150780;PA;2;EMAD II, EMAP;Senador José Porfírio;;
150795;PA;2;EMAD I, EMAP;Tailândia;;
150808;PA;2;EMAD II, EMAP;Tucumã;;
150810;PA;2;EMAD I, EMAP;Tucuruí;;
150812;PA;2;EMAD I, EMAP;Ulianópolis;;
150815;PA;2;EMAD II, EMAP;Uruará;;
150820;PA;2;EMAD I, EMAP;Vigia;;
150835;PA;1;EMAP-R;Vitória do Xingu;;
150840;PA;2;EMAD I, EMAP;Xinguara;;
160030;AP;7;EMAD I, EMAP;Macapá;;
160060;AP;2;EMAD I, EMAP;Santana;;
170210;TO;3;EMAD I, EMAP;Araguaína;;
170820;TO;2;EMAD II, EMAP;Formoso do Araguaia;;
170950;TO;1;EMAD I;Gurupi;;
171820;TO;2;EMAD I, EMAP;Porto Nacional;;
172100;TO;4;EMAD I, EMAP;Palmas;;
210005;MA;2;EMAD I, EMAP;Açailândia;;
210030;MA;2;EMAD II, EMAP;Aldeias Altas;;
210060;MA;2;EMAD II, EMAP;Amarante do Maranhão;;
210125;MA;1;EMAP-R;Bacabeira;;
210160;MA;1;EMAD I;Barra do Corda;;
210230;MA;2;EMAD II, EMAP;Buriti Bravo;;
210232;MA;2;EMAD I, EMAP;Buriticupu;;
210255;MA;1;EMAP-R;Campestre do Maranhão;;
210300;MA;3;EMAD I, EMAP;Caxias;;
210330;MA;2;EMAD I, EMAP;Codó;;
210350;MA;2;EMAD I, EMAP;Colinas;;
210360;MA;2;EMAD I, EMAP;Coroatá;;
210380;MA;2;EMAD II, EMAP;Dom Pedro;;
210409;MA;1;EMAD II;Formosa da Serra Negra;;
210420;MA;2;EMAD II, EMAP;Fortuna;;
210440;MA;2;EMAD II, EMAP;Gonçalves Dias;;
210480;MA;2;EMAD I, EMAP;Grajaú;;
210530;MA;3;EMAD I, EMAP;Imperatriz;;
210550;MA;1;EMAP;João Lisboa;;
210570;MA;2;EMAD I, EMAP;Lago da Pedra;;
210600;MA;1;EMAP-R;Lima Campos;;
210660;MA;2;EMAD II, EMAP;Matões;;
210670;MA;2;EMAD II, EMAP;Mirador;;
210720;MA;1;EMAP-R;Nina Rodrigues;;
210750;MA;2;EMAD I, EMAP;Paço do Lumiar;;
210770;MA;2;EMAD II, EMAP;Paraibano;;
210800;MA;2;EMAD II, EMAP;Pastos Bons;;
210820;MA;2;EMAD II, EMAP;Pedreiras;;
210845;MA;2;EMAD II, EMAP;Peritoró;;
210860;MA;2;EMAD I, EMAP;Pinheiro;;
210870;MA;1;EMAD II;Pio XII;;
210900;MA;2;EMAD II, EMAP;Porto Franco;;
211020;MA;2;EMAD II, EMAP;Santa Rita;;
211070;MA;2;EMAD II, EMAP;São Domingos do Maranhão;;
211090;MA;1;EMAP-R;São Francisco do Maranhão;;
211107;MA;1;EMAP-R;São João do Soter;;
211110;MA;2;EMAD II, EMAP;São João dos Patos;;
211120;MA;2;EMAD I, EMAP;São José de Ribamar;;
211130;MA;12;EMAD I, EMAP;São Luís;;
211150;MA;2;EMAD I, EMAP;São Mateus do Maranhão;;
211220;MA;3;EMAD I, EMAP;Timon;;
211230;MA;1;EMAD I;Tuntum;;
211290;MA;1;EMAD II;Vitória do Mearim;;
211400;MA;2;EMAD I, EMAP;Zé Doca;;
220010;PI;1;EMAP-R;Agricolândia;;
220025;PI;1;EMAP-R;Alagoinha do Piauí;;
220050;PI;1;EMAP-R;Amarante;;
220060;PI;1;EMAP-R;Angical do Piauí;;
220070;PI;1;EMAP-R;Anísio de Abreu;;
220090;PI;1;EMAP-R;Aroazes;;
220105;PI;1;EMAP-R;Assunção do Piauí;;
220120;PI;2;EMAD I, EMAP;Barras;;
220190;PI;2;EMAD II, EMAP;Bom Jesus;;
220196;PI;1;EMAP-R;Brasileira;;
220220;PI;2;EMAD I, EMAP;Campo Maior;;
220230;PI;2;EMAD II, EMAP;Canto do Buriti;;
220250;PI;1;EMAP-R;Caracol;;
220270;PI;1;EMAD II;Cocal;;
220310;PI;2;EMAD II, EMAP;Cristino Castro;;
220330;PI;1;EMAP-R;Demerval Lobão;;
220335;PI;1;EMAP-R;Dirceu Arcoverde;;
220345;PI;1;EMAP-R;Dom Inocêncio;;
220370;PI;2;EMAD II, EMAP;Esperantina;;
220375;PI;1;EMAP-R;Fartura do Piauí;;
220390;PI;2;EMAD I, EMAP;Floriano;;
220455;PI;1;EMAP-R;Guaribas;;
220465;PI;1;EMAP-R;Ilha Grande;;
220510;PI;1;EMAP-R;Itaueira;;
220525;PI;1;EMAP-R;Jardim do Mulato;;
220540;PI;1;EMAP-R;Joaquim Pires;;
220550;PI;2;EMAD II, EMAP;José de Freitas;;
220554;PI;1;EMAP-R;Lagoinha do Piauí;;
220557;PI;1;EMAP-R;Lagoa de São Francisco;;
220558;PI;1;EMAP-R;Lagoa do Piauí;;
220570;PI;2;EMAD II, EMAP;Luís Correia;;
220635;PI;1;EMAP-R;Milton Brandão;;
220695;PI;1;EMAP-R;Novo Santo Antônio;;
220700;PI;2;EMAD II, EMAP;Oeiras;;
220730;PI;1;EMAP-R;Paes Landim;;
220750;PI;1;EMAP-R;Palmeirais;;
220775;PI;1;EMAP-R;Passagem Franca do Piauí;;
220790;PI;2;EMAD II, EMAP;Pedro II;;
220820;PI;2;EMAD II, EMAP;Pio IX;;
220840;PI;2;EMAD I, EMAP;Piripiri;;
220865;PI;1;EMAP-R;Queimada Nova;;
220880;PI;1;EMAP-R;Regeneração;;
220955;PI;1;EMAP-R;São Braz do Piauí;;
220985;PI;1;EMAP-R;São João da Canabrava;;
220990;PI;1;EMAP-R;São João da Serra;;
221000;PI;2;EMAD II, EMAP;São João do Piauí;;
221050;PI;1;EMAP-R;São Pedro do Piauí;;
221060;PI;2;EMAD II, EMAP;São Raimundo Nonato;;
221080;PI;1;EMAP-R;Simplício Mendes;;
221100;PI;3;EMAD I, EMAP;Teresina;;
221110;PI;2;EMAD I, EMAP;União;;
221130;PI;2;EMAD II, EMAP;Valença do Piauí;;
221140;PI;1;EMAP-R;Várzea Grande;;
230020;CE;2;EMAD I, EMAP;Acaraú;;
230075;CE;2;EMAD I, EMAP;Amontada;;
230100;CE;2;EMAD I, EMAP;Aquiraz;;
230110;CE;2;EMAD I, EMAP;Aracati;;
230120;CE;1;EMAD II;Aracoiaba;;
230125;CE;1;EMAP-R;Ararendá;;
230170;CE;1;EMAD II;Aurora;;
230190;CE;2;EMAD I, EMAP;Barbalha;;
230210;CE;2;EMAD II, EMAP;Baturité;;
230220;CE;2;EMAD I, EMAP;Beberibe;;
230230;CE;2;EMAD II, EMAP;Bela Cruz;;
230240;CE;2;EMAD I, EMAP;Boa Viagem;;
230250;CE;2;EMAD I, EMAP;Brejo Santo;;
230280;CE;1;EMAD I;Canindé;;
230320;CE;2;EMAD II, EMAP;Caririaçu;;
230350;CE;2;EMAD I, EMAP;Cascavel;;
230365;CE;1;EMAP-R;Catunda;;
230370;CE;3;EMAD I, EMAP;Caucaia;;
230395;CE;1;EMAD II;Chorozinho;;
230420;CE;2;EMAD I, EMAP;Crato;;
230425;CE;2;EMAD II, EMAP;Cruz;;
230428;CE;2;EMAD I, EMAP;Eusébio;;
230440;CE;35;EMAD I, EMAP;Fortaleza;;
230470;CE;1;EMAD I;Granja;;
230495;CE;1;EMAD II;Guaiúba;;
230500;CE;2;EMAD I, EMAP;Guaraciaba do Norte;;
230523;CE;2;EMAD I, EMAP;Horizonte;;
230533;CE;1;EMAP-R;Ibicuitinga;;
230535;CE;2;EMAD II, EMAP;Icapuí;;
230540;CE;2;EMAD I, EMAP;Icó;;
230550;CE;1;EMAD I;Iguatu;;
230580;CE;2;EMAD I, EMAP;Ipu;;
230610;CE;1;EMAD II;Irauçuba;;
230625;CE;2;EMAD II, EMAP;Itaitinga;;
230630;CE;2;EMAD I, EMAP;Itapajé;;
230640;CE;2;EMAD I, EMAP;Itapipoca;;
230655;CE;1;EMAD I;Itarema;;
230660;CE;1;EMAD II;Itatira;;
230690;CE;2;EMAD II, EMAP;Jaguaribe;;
230700;CE;2;EMAD II, EMAP;Jaguaruana;;
230710;CE;1;EMAD II;Jardim;;
230725;CE;2;EMAD II, EMAP;Jijoca de Jericoacoara;;
230730;CE;5;EMAD I, EMAP;Juazeiro do Norte;;
230740;CE;1;EMAD II;Jucás;;
230750;CE;1;EMAD II;Lavras da Mangabeira;;
230760;CE;2;EMAD I, EMAP;Limoeiro do Norte;;
230765;CE;3;EMAD I, EMAP;Maracanaú;;
230770;CE;2;EMAD I, EMAP;Maranguape;;
230780;CE;2;EMAD II, EMAP;Marco;;
230810;CE;2;EMAD I, EMAP;Mauriti;;
230830;CE;2;EMAD II, EMAP;Milagres;;
230840;CE;1;EMAD II;Missão Velha;;
230860;CE;1;EMAP-R;Monsenhor Tabosa;;
230870;CE;2;EMAD I, EMAP;Morada Nova;;
230930;CE;2;EMAD II, EMAP;Nova Russas;;
230940;CE;1;EMAD II;Novo Oriente;;
230945;CE;2;EMAD II, EMAP;Ocara;;
230950;CE;2;EMAD II, EMAP;Orós;;
230960;CE;2;EMAD I, EMAP;Pacajus;;
230970;CE;2;EMAD I, EMAP;Pacatuba;;
231020;CE;2;EMAD II, EMAP;Paracuru;;
231025;CE;2;EMAD II, EMAP;Paraipaba;;
231050;CE;2;EMAD I, EMAP;Pedra Branca;;
231070;CE;2;EMAD II, EMAP;Pentecoste;;
231085;CE;1;EMAD II;Pindoretama;;
231100;CE;1;EMAP-R;Poranga;;
231126;CE;2;EMAD II, EMAP;Quiterianópolis;;
231130;CE;2;EMAD I, EMAP;Quixadá;;
231140;CE;2;EMAD I, EMAP;Quixeramobim;;
231150;CE;2;EMAD II, EMAP;Quixeré;;
231160;CE;2;EMAD II, EMAP;Redenção;;
231180;CE;2;EMAD I, EMAP;Russas;;
231240;CE;3;EMAD I, EMAP;São Gonçalo do Amarante;;
231270;CE;2;EMAD II, EMAP;Senador Pompeu;;
231290;CE;3;EMAD I, EMAP;Sobral;;
231310;CE;2;EMAD II, EMAP;Tabuleiro do Norte;;
231320;CE;2;EMAD II, EMAP;Tamboril;;
231330;CE;1;EMAD I;Tauá;;
231340;CE;1;EMAD I;Tianguá;;
231350;CE;2;EMAD I, EMAP;Trairi;;
231400;CE;2;EMAD I, EMAP;Várzea Alegre;;
231410;CE;2;EMAD I, EMAP;Viçosa do Ceará;;
240020;RN;2;EMAD I, EMAP;Açu;;
240050;RN;1;EMAP-R;Alexandria;;
240110;RN;1;EMAD II;Areia Branca;;
240200;RN;1;EMAD I;Caicó;;
240220;RN;2;EMAD II, EMAP;Canguaretama;;
240260;RN;2;EMAD I, EMAP;Ceará-Mirim;;
240310;RN;1;EMAD I;Currais Novos;;
240325;RN;3;EMAD I, EMAP;Parnamirim;;
240360;RN;1;EMAD II;Extremoz;;
240420;RN;2;EMAD II, EMAP;Goianinha;;
240580;RN;1;EMAD II;João Câmara;;
240710;RN;2;EMAD I, EMAP;Macaíba;;
240780;RN;2;EMAD II, EMAP;Monte Alegre;;
240800;RN;2;EMAD I, EMAP;Mossoró;;
240810;RN;8;EMAD I, EMAP;Natal;;
240820;RN;2;EMAD II, EMAP;Nísia Floresta;;
240830;RN;2;EMAD II, EMAP;Nova Cruz;;
240890;RN;2;EMAD II, EMAP;Parelhas;;
240940;RN;2;EMAD II, EMAP;Pau dos Ferros;;
241120;RN;1;EMAD II;Santa Cruz;;
241150;RN;2;EMAD II, EMAP;Santo Antônio;;
241220;RN;2;EMAD I, EMAP;São José de Mipibu;;
241260;RN;1;EMAD II;São Paulo do Potengi;;
241330;RN;1;EMAP-R;Serra de São Bento;;
241440;RN;2;EMAD II, EMAP;Touros;;
250010;PB;2;EMAD II, EMAP;Água Branca;;
250030;PB;1;EMAD II;Alagoa Grande;;
250040;PB;2;EMAD II, EMAP;Alagoa Nova;;
250050;PB;1;EMAP-R;Alagoinha;;
250053;PB;2;EMAD II, EMAP;Alcantil;;
250070;PB;2;EMAD II, EMAP;São João do Rio do Peixe;;
250077;PB;1;EMAP-R;Aparecida;;
250110;PB;2;EMAD II, EMAP;Areia;;
250135;PB;1;EMAP-R;Assunção;;
250150;PB;2;EMAD II, EMAP;Bananeiras;;
250157;PB;1;EMAP-R;Barra de Santana;;
250180;PB;2;EMAD I, EMAP;Bayeux;;
250190;PB;2;EMAD II, EMAP;Belém;;
250210;PB;2;EMAD II, EMAP;Boa Ventura;;
250220;PB;1;EMAP-R;Bom Jesus;;
250240;PB;2;EMAD II, EMAP;Bonito de Santa Fé;;
250250;PB;2;EMAD II, EMAP;Boqueirão;;
250260;PB;1;EMAP-R;Igaracy;;
250270;PB;1;EMAP-R;Borborema;;
250280;PB;2;EMAD II, EMAP;Brejo do Cruz;;
250300;PB;2;EMAD II, EMAP;Caaporã;;
250320;PB;2;EMAD I, EMAP;Cabedelo;;
250350;PB;1;EMAP-R;Cacimba de Dentro;;
250370;PB;2;EMAD I, EMAP;Cajazeiras;;
250380;PB;1;EMAP-R;Caldas Brandão;;
250400;PB;4;EMAD I, EMAP;Campina Grande;;
250410;PB;1;EMAP-R;Carrapateira;;
250440;PB;2;EMAD II, EMAP;Conceição;;
250450;PB;1;EMAP-R;Condado;;
250460;PB;2;EMAD II, EMAP;Conde;;
250470;PB;1;EMAP-R;Congo;;
250480;PB;2;EMAD II, EMAP;Coremas;;
250510;PB;2;EMAD II, EMAP;Cuité;;
250530;PB;1;EMAP-R;Curral Velho;;
250580;PB;1;EMAP-R;Duas Estradas;;
250590;PB;1;EMAP-R;Emas;;
250600;PB;2;EMAD II, EMAP;Esperança;;
250630;PB;2;EMAD I, EMAP;Guarabira;;
250660;PB;1;EMAP-R;Ibiara;;
250680;PB;2;EMAD II, EMAP;Ingá;;
250690;PB;2;EMAD II, EMAP;Itabaiana;;
250700;PB;2;EMAD II, EMAP;Itaporanga;;
250720;PB;1;EMAP-R;Itatuba;;
250730;PB;1;EMAP-R;Jacaraú;;
250750;PB;10;EMAD I, EMAP;João Pessoa;;
250770;PB;1;EMAD II;Juazeirinho;;
250790;PB;2;EMAD II, EMAP;Juripiranga;;
250800;PB;1;EMAP-R;Juru;;
250820;PB;1;EMAP-R;Lagoa de Dentro;;
250830;PB;1;EMAD II;Lagoa Seca;;
250840;PB;1;EMAP-R;Lastro;;
250855;PB;1;EMAP-R;Logradouro;;
250890;PB;2;EMAD I, EMAP;Mamanguape;;
250900;PB;1;EMAP;Manaíra;;
250940;PB;1;EMAP-R;Mogeiro;;
250970;PB;2;EMAD II, EMAP;Monteiro;;
250980;PB;1;EMAP-R;Mulungu;;
251070;PB;1;EMAP-R;Passagem;;
251080;PB;2;EMAD I, EMAP;Patos;;
251120;PB;2;EMAD II, EMAP;Pedras de Fogo;;
251130;PB;2;EMAD II, EMAP;Piancó;;
251150;PB;2;EMAD II, EMAP;Pilar;;
251170;PB;1;EMAP-R;Pilõezinhos;;
251210;PB;2;EMAD II, EMAP;Pombal;;
251230;PB;1;EMAD II;Princesa Isabel;;
251250;PB;2;EMAD I, EMAP;Queimadas;;
251275;PB;1;EMAP-R;Riachão do Bacamarte;;
251278;PB;1;EMAP-R;Riacho de Santo Antônio;;
251320;PB;2;EMAD II, EMAP;Santa Cruz;;
251330;PB;1;EMAP-R;Santa Helena;;
251335;PB;1;EMAP-R;Santa Inês;;
251340;PB;1;EMAP-R;Santa Luzia;;
251350;PB;1;EMAP-R;Santana de Mangueira;;
251370;PB;2;EMAD I, EMAP;Santa Rita;;
251390;PB;1;EMAD II;São Bento;;
251394;PB;1;EMAP-R;São Domingos do Cariri;;
251430;PB;1;EMAP-R;São José de Caiana;;
251440;PB;1;EMAP-R;São José de Espinharas;;
251445;PB;1;EMAP-R;São José dos Ramos;;
251450;PB;2;EMAD II, EMAP;São José de Piranhas;;
251455;PB;1;EMAP-R;São José de Princesa;;
251470;PB;1;EMAP-R;São José do Sabugi;;
251530;PB;2;EMAD I, EMAP;Sapé;;
251550;PB;1;EMAP-R;Serra Branca;;
251570;PB;1;EMAP-R;Serra Grande;;
251593;PB;1;EMAP-R;Sertãozinho;;
251600;PB;1;EMAD II;Solânea;;
251620;PB;2;EMAD I, EMAP;Sousa;;
251640;PB;1;EMAP-R;Tacima;;
251660;PB;2;EMAD II, EMAP;Tavares;;
251670;PB;2;EMAD II, EMAP;Teixeira;;
251690;PB;2;EMAD II, EMAP;Uiraúna;;
251720;PB;1;EMAP-R;Vieirópolis;;
260005;PE;2;EMAD I, EMAP;Abreu e Lima;;
260010;PE;1;EMAD I;Afogados da Ingazeira;;
260030;PE;2;EMAD II, EMAP;Agrestina;;
260050;PE;2;EMAD I, EMAP;Águas Belas;;
260070;PE;2;EMAD I, EMAP;Aliança;;
260080;PE;2;EMAD II, EMAP;Altinho;;
260090;PE;2;EMAD II, EMAP;Amaraji;;
260140;PE;2;EMAD I, EMAP;Barreiros;;
